,Code,Borough,Month,Average Price,Year
0,E09000001,City of London,9,878767.0,2014
1,E09000002,Barking and Dagenham,9,207119.0,2014
2,E09000003,Barnet,9,529833.0,2014
3,E09000004,Bexley,9,258740.0,2014
4,E09000005,Brent,9,458691.0,2014
5,E09000006,Bromley,9,389487.0,2014
6,E09000007,Camden,9,915198.0,2014
7,E09000008,Croydon,9,292314.0,2014
8,E09000009,Ealing,9,486683.0,2014
9,E09000010,Enfield,9,338688.0,2014
10,E09000011,Greenwich,9,365534.0,2014
11,E09000012,Hackney,9,485169.0,2014
12,E09000013,Hammersmith and Fulham,9,837630.0,2014
13,E09000014,Haringey,9,527783.0,2014
14,E09000015,Harrow,9,416156.0,2014
15,E09000016,Havering,9,275351.0,2014
16,E09000017,Hillingdon,9,334984.0,2014
17,E09000018,Hounslow,9,417421.0,2014
18,E09000019,Islington,9,646199.0,2014
19,E09000020,Kensington and Chelsea,9,1886398.0,2014
20,E09000021,Kingston upon Thames,9,455795.0,2014
21,E09000022,Lambeth,9,527246.0,2014
22,E09000023,Lewisham,9,345627.0,2014
23,E09000024,Merton,9,516913.0,2014
24,E09000025,Newham,9,258765.0,2014
25,E09000026,Redbridge,9,328535.0,2014
26,E09000027,Richmond upon Thames,9,703304.0,2014
27,E09000028,Southwark,9,501087.0,2014
28,E09000029,Sutton,9,310499.0,2014
29,E09000030,Tower Hamlets,9,439575.0,2014
30,E09000031,Waltham Forest,9,319350.0,2014
31,E09000032,Wandsworth,9,659667.0,2014
32,E09000033,Westminster,9,1395016.0,2014
33,E09000001,City of London,12,894045.0,2014
34,E09000002,Barking and Dagenham,12,215810.0,2014
35,E09000003,Barnet,12,534786.0,2014
36,E09000004,Bexley,12,267267.0,2014
37,E09000005,Brent,12,468858.0,2014
38,E09000006,Bromley,12,397486.0,2014
39,E09000007,Camden,12,966927.0,2014
40,E09000008,Croydon,12,300572.0,2014
41,E09000009,Ealing,12,501526.0,2014
42,E09000010,Enfield,12,350007.0,2014
43,E09000011,Greenwich,12,369976.0,2014
44,E09000012,Hackney,12,501632.0,2014
45,E09000013,Hammersmith and Fulham,12,886073.0,2014
46,E09000014,Haringey,12,542902.0,2014
47,E09000015,Harrow,12,427077.0,2014
48,E09000016,Havering,12,284185.0,2014
49,E09000017,Hillingdon,12,348123.0,2014
50,E09000018,Hounslow,12,427359.0,2014
51,E09000019,Islington,12,669868.0,2014
52,E09000020,Kensington and Chelsea,12,1946176.0,2014
53,E09000021,Kingston upon Thames,12,475080.0,2014
54,E09000022,Lambeth,12,538039.0,2014
55,E09000023,Lewisham,12,360998.0,2014
56,E09000024,Merton,12,537708.0,2014
57,E09000025,Newham,12,269497.0,2014
58,E09000026,Redbridge,12,338666.0,2014
59,E09000027,Richmond upon Thames,12,730458.0,2014
60,E09000028,Southwark,12,518143.0,2014
61,E09000029,Sutton,12,322434.0,2014
62,E09000030,Tower Hamlets,12,445318.0,2014
63,E09000031,Waltham Forest,12,334325.0,2014
64,E09000032,Wandsworth,12,681730.0,2014
