,N_Neighbors,Weights,Algorithm,metric,LogLoss,Mean Absolute Error
0,1,uniform,auto,euclidean,25.2076,1.8938
1,1,uniform,ball_tree,euclidean,25.2076,1.8938
2,1,uniform,kd_tree,euclidean,25.2076,1.8938
3,1,uniform,brute,euclidean,25.2248,1.8938
4,1,distance,auto,euclidean,25.2076,1.8938
5,1,distance,ball_tree,euclidean,25.2076,1.8938
6,1,distance,kd_tree,euclidean,25.2076,1.8938
7,1,distance,brute,euclidean,25.2248,1.8938
8,5,uniform,auto,euclidean,9.8299,1.8938
9,5,uniform,ball_tree,euclidean,9.8301,1.8938
10,5,uniform,kd_tree,euclidean,9.8299,1.8938
11,5,uniform,brute,euclidean,9.8356,1.8938
12,5,distance,auto,euclidean,9.8301,1.8938
13,5,distance,ball_tree,euclidean,9.8303,1.8938
14,5,distance,kd_tree,euclidean,9.8301,1.8938
15,5,distance,brute,euclidean,9.8358,1.8938
16,10,uniform,auto,euclidean,4.9103,1.8938
17,10,uniform,ball_tree,euclidean,4.9102,1.8938
18,10,uniform,kd_tree,euclidean,4.9103,1.8938
19,10,uniform,brute,euclidean,4.921,1.8938
20,10,distance,auto,euclidean,4.9103,1.8938
21,10,distance,ball_tree,euclidean,4.9102,1.8938
22,10,distance,kd_tree,euclidean,4.9103,1.8938
23,10,distance,brute,euclidean,4.9211,1.8938
24,20,uniform,auto,euclidean,2.5663,1.8938
25,20,uniform,ball_tree,euclidean,2.5662,1.8938
26,20,uniform,kd_tree,euclidean,2.5663,1.8938
27,20,uniform,brute,euclidean,2.5663,1.8938
28,20,distance,auto,euclidean,2.5662,1.8938
29,20,distance,ball_tree,euclidean,2.5661,1.8938
30,20,distance,kd_tree,euclidean,2.5662,1.8938
31,20,distance,brute,euclidean,2.5662,1.8938
32,42,uniform,auto,euclidean,1.6739,1.8938
33,42,uniform,ball_tree,euclidean,1.6739,1.8938
34,42,uniform,kd_tree,euclidean,1.6739,1.8938
35,42,uniform,brute,euclidean,1.6739,1.8938
36,42,distance,auto,euclidean,1.6733,1.8938
37,42,distance,ball_tree,euclidean,1.6732,1.8938
38,42,distance,kd_tree,euclidean,1.6733,1.8938
39,42,distance,brute,euclidean,1.6733,1.8938
40,50,uniform,auto,euclidean,1.6065,1.8938
41,50,uniform,ball_tree,euclidean,1.6065,1.8938
42,50,uniform,kd_tree,euclidean,1.6065,1.8938
43,50,uniform,brute,euclidean,1.6065,1.8938
44,50,distance,auto,euclidean,1.6064,1.8938
45,50,distance,ball_tree,euclidean,1.6064,1.8938
46,50,distance,kd_tree,euclidean,1.6064,1.8938
47,50,distance,brute,euclidean,1.6063,1.8938
48,100,uniform,auto,euclidean,1.4671,1.8938
49,100,uniform,ball_tree,euclidean,1.4671,1.8938
