,N_Neighbors,Weights,Algorithm,metric,LogLoss,Mean Absolute Error
0,1,uniform,auto,minkowski,25.409,1.955
1,1,uniform,ball_tree,minkowski,25.409,1.955
2,1,uniform,kd_tree,minkowski,25.409,1.955
3,1,uniform,brute,minkowski,25.409,1.955
4,1,distance,auto,minkowski,25.409,1.955
5,1,distance,ball_tree,minkowski,25.409,1.955
6,1,distance,kd_tree,minkowski,25.409,1.955
7,1,distance,brute,minkowski,25.409,1.955
8,5,uniform,auto,minkowski,10.2825,1.955
9,5,uniform,ball_tree,minkowski,10.2879,1.955
10,5,uniform,kd_tree,minkowski,10.2825,1.955
11,5,uniform,brute,minkowski,10.2821,1.955
12,5,distance,auto,minkowski,10.2826,1.955
13,5,distance,ball_tree,minkowski,10.2879,1.955
14,5,distance,kd_tree,minkowski,10.2826,1.955
15,5,distance,brute,minkowski,10.2822,1.955
16,10,uniform,auto,minkowski,5.3371,1.955
17,10,uniform,ball_tree,minkowski,5.3317,1.955
18,10,uniform,kd_tree,minkowski,5.3371,1.955
19,10,uniform,brute,minkowski,5.3265,1.955
20,10,distance,auto,minkowski,5.337,1.955
21,10,distance,ball_tree,minkowski,5.3316,1.955
22,10,distance,kd_tree,minkowski,5.337,1.955
23,10,distance,brute,minkowski,5.3264,1.955
24,20,uniform,auto,minkowski,2.6647,1.955
25,20,uniform,ball_tree,minkowski,2.6646,1.955
26,20,uniform,kd_tree,minkowski,2.6647,1.955
27,20,uniform,brute,minkowski,2.6646,1.955
28,20,distance,auto,minkowski,2.6646,1.955
29,20,distance,ball_tree,minkowski,2.6645,1.955
30,20,distance,kd_tree,minkowski,2.6646,1.955
31,20,distance,brute,minkowski,2.6645,1.955
32,42,uniform,auto,minkowski,1.5858,1.955
33,42,uniform,ball_tree,minkowski,1.5858,1.955
34,42,uniform,kd_tree,minkowski,1.5858,1.955
35,42,uniform,brute,minkowski,1.5858,1.955
36,42,distance,auto,minkowski,1.5868,1.955
37,42,distance,ball_tree,minkowski,1.5868,1.955
38,42,distance,kd_tree,minkowski,1.5868,1.955
39,42,distance,brute,minkowski,1.5868,1.955
40,50,uniform,auto,minkowski,1.5256,1.955
41,50,uniform,ball_tree,minkowski,1.5256,1.955
42,50,uniform,kd_tree,minkowski,1.5256,1.955
43,50,uniform,brute,minkowski,1.5256,1.955
44,50,distance,auto,minkowski,1.5266,1.955
45,50,distance,ball_tree,minkowski,1.5266,1.955
46,50,distance,kd_tree,minkowski,1.5266,1.955
47,50,distance,brute,minkowski,1.5266,1.955
48,100,uniform,auto,minkowski,1.4711,1.955
49,100,uniform,ball_tree,minkowski,1.4711,1.955
50,100,uniform,kd_tree,minkowski,1.4711,1.955
51,100,uniform,brute,minkowski,1.4711,1.955
52,100,distance,auto,minkowski,1.4716,1.955
53,100,distance,ball_tree,minkowski,1.4716,1.955
54,100,distance,kd_tree,minkowski,1.4716,1.955
55,100,distance,brute,minkowski,1.4716,1.955
56,1,uniform,auto,jaccard,25.409,1.955
57,1,uniform,ball_tree,jaccard,25.409,1.955
58,1,uniform,kd_tree,jaccard,25.409,1.955
59,1,uniform,brute,jaccard,25.409,1.955
60,1,distance,auto,jaccard,25.409,1.955
61,1,distance,ball_tree,jaccard,25.409,1.955
62,1,distance,kd_tree,jaccard,25.409,1.955
63,1,distance,brute,jaccard,25.409,1.955
64,5,uniform,auto,jaccard,10.2825,1.955
65,5,uniform,ball_tree,jaccard,10.2879,1.955
66,5,uniform,kd_tree,jaccard,10.2825,1.955
67,5,uniform,brute,jaccard,10.2821,1.955
68,5,distance,auto,jaccard,10.2826,1.955
69,5,distance,ball_tree,jaccard,10.2879,1.955
70,5,distance,kd_tree,jaccard,10.2826,1.955
71,5,distance,brute,jaccard,10.2822,1.955
72,10,uniform,auto,jaccard,5.3371,1.955
73,10,uniform,ball_tree,jaccard,5.3317,1.955
74,10,uniform,kd_tree,jaccard,5.3371,1.955
75,10,uniform,brute,jaccard,5.3265,1.955
76,10,distance,auto,jaccard,5.337,1.955
77,10,distance,ball_tree,jaccard,5.3316,1.955
78,10,distance,kd_tree,jaccard,5.337,1.955
79,10,distance,brute,jaccard,5.3264,1.955
80,20,uniform,auto,jaccard,2.6647,1.955
81,20,uniform,ball_tree,jaccard,2.6646,1.955
82,20,uniform,kd_tree,jaccard,2.6647,1.955
83,20,uniform,brute,jaccard,2.6646,1.955
84,20,distance,auto,jaccard,2.6646,1.955
85,20,distance,ball_tree,jaccard,2.6645,1.955
86,20,distance,kd_tree,jaccard,2.6646,1.955
87,20,distance,brute,jaccard,2.6645,1.955
88,42,uniform,auto,jaccard,1.5858,1.955
89,42,uniform,ball_tree,jaccard,1.5858,1.955
90,42,uniform,kd_tree,jaccard,1.5858,1.955
91,42,uniform,brute,jaccard,1.5858,1.955
92,42,distance,auto,jaccard,1.5868,1.955
93,42,distance,ball_tree,jaccard,1.5868,1.955
94,42,distance,kd_tree,jaccard,1.5868,1.955
95,42,distance,brute,jaccard,1.5868,1.955
96,50,uniform,auto,jaccard,1.5256,1.955
97,50,uniform,ball_tree,jaccard,1.5256,1.955
98,50,uniform,kd_tree,jaccard,1.5256,1.955
99,50,uniform,brute,jaccard,1.5256,1.955
100,50,distance,auto,jaccard,1.5266,1.955
101,50,distance,ball_tree,jaccard,1.5266,1.955
102,50,distance,kd_tree,jaccard,1.5266,1.955
103,50,distance,brute,jaccard,1.5266,1.955
104,100,uniform,auto,jaccard,1.4711,1.955
105,100,uniform,ball_tree,jaccard,1.4711,1.955
106,100,uniform,kd_tree,jaccard,1.4711,1.955
107,100,uniform,brute,jaccard,1.4711,1.955
108,100,distance,auto,jaccard,1.4716,1.955
109,100,distance,ball_tree,jaccard,1.4716,1.955
110,100,distance,kd_tree,jaccard,1.4716,1.955
111,100,distance,brute,jaccard,1.4716,1.955
112,1,uniform,auto,euclidean,25.409,1.955
113,1,uniform,ball_tree,euclidean,25.409,1.955
114,1,uniform,kd_tree,euclidean,25.409,1.955
115,1,uniform,brute,euclidean,25.409,1.955
116,1,distance,auto,euclidean,25.409,1.955
117,1,distance,ball_tree,euclidean,25.409,1.955
118,1,distance,kd_tree,euclidean,25.409,1.955
119,1,distance,brute,euclidean,25.409,1.955
120,5,uniform,auto,euclidean,10.2825,1.955
121,5,uniform,ball_tree,euclidean,10.2879,1.955
122,5,uniform,kd_tree,euclidean,10.2825,1.955
123,5,uniform,brute,euclidean,10.2821,1.955
124,5,distance,auto,euclidean,10.2826,1.955
125,5,distance,ball_tree,euclidean,10.2879,1.955
126,5,distance,kd_tree,euclidean,10.2826,1.955
127,5,distance,brute,euclidean,10.2822,1.955
128,10,uniform,auto,euclidean,5.3371,1.955
129,10,uniform,ball_tree,euclidean,5.3317,1.955
130,10,uniform,kd_tree,euclidean,5.3371,1.955
131,10,uniform,brute,euclidean,5.3265,1.955
132,10,distance,auto,euclidean,5.337,1.955
133,10,distance,ball_tree,euclidean,5.3316,1.955
134,10,distance,kd_tree,euclidean,5.337,1.955
135,10,distance,brute,euclidean,5.3264,1.955
136,20,uniform,auto,euclidean,2.6647,1.955
137,20,uniform,ball_tree,euclidean,2.6646,1.955
138,20,uniform,kd_tree,euclidean,2.6647,1.955
139,20,uniform,brute,euclidean,2.6646,1.955
140,20,distance,auto,euclidean,2.6646,1.955
141,20,distance,ball_tree,euclidean,2.6645,1.955
142,20,distance,kd_tree,euclidean,2.6646,1.955
143,20,distance,brute,euclidean,2.6645,1.955
144,42,uniform,auto,euclidean,1.5858,1.955
145,42,uniform,ball_tree,euclidean,1.5858,1.955
146,42,uniform,kd_tree,euclidean,1.5858,1.955
147,42,uniform,brute,euclidean,1.5858,1.955
148,42,distance,auto,euclidean,1.5868,1.955
149,42,distance,ball_tree,euclidean,1.5868,1.955
150,42,distance,kd_tree,euclidean,1.5868,1.955
151,42,distance,brute,euclidean,1.5868,1.955
152,50,uniform,auto,euclidean,1.5256,1.955
153,50,uniform,ball_tree,euclidean,1.5256,1.955
154,50,uniform,kd_tree,euclidean,1.5256,1.955
155,50,uniform,brute,euclidean,1.5256,1.955
156,50,distance,auto,euclidean,1.5266,1.955
157,50,distance,ball_tree,euclidean,1.5266,1.955
158,50,distance,kd_tree,euclidean,1.5266,1.955
159,50,distance,brute,euclidean,1.5266,1.955
160,100,uniform,auto,euclidean,1.4711,1.955
161,100,uniform,ball_tree,euclidean,1.4711,1.955
162,100,uniform,kd_tree,euclidean,1.4711,1.955
163,100,uniform,brute,euclidean,1.4711,1.955
164,100,distance,auto,euclidean,1.4716,1.955
165,100,distance,ball_tree,euclidean,1.4716,1.955
166,100,distance,kd_tree,euclidean,1.4716,1.955
167,100,distance,brute,euclidean,1.4716,1.955
