,Trees,Depth,Learning Rate,LogLoss,Mean Absolute Error
0,10,1,0.1,1.4626,1.9368
1,10,2,0.1,1.4634,1.9483
2,10,5,0.1,1.4669,1.9485
3,10,15,0.1,1.5388,1.9627
4,10,20,0.1,1.6076,1.913
5,20,1,0.1,1.4515,1.9368
6,20,2,0.1,1.4527,1.9487
7,20,5,0.1,1.4616,1.9327
8,20,15,0.1,1.5737,1.9498
9,20,20,0.1,1.7197,1.94
10,40,1,0.1,1.4502,1.9405
11,40,2,0.1,1.4532,1.9612
12,40,5,0.1,1.4742,1.9453
13,40,15,0.1,1.6628,1.9477
14,40,20,0.1,1.9054,1.9302
15,60,1,0.1,1.4507,1.9278
16,60,2,0.1,1.456,1.9627
17,60,5,0.1,1.4896,1.9625
18,60,15,0.1,1.7563,1.9345
19,60,20,0.1,2.1289,1.9367
20,100,1,0.1,1.4514,1.9458
21,100,2,0.1,1.4608,1.965
22,100,5,0.1,1.5143,1.9832
23,100,15,0.1,1.8939,1.926
24,100,20,0.1,2.4501,1.9337
25,150,1,0.1,1.4527,1.9628
26,150,2,0.1,1.4684,1.9622
27,150,5,0.1,1.5461,1.9685
28,150,15,0.1,2.1619,1.9495
29,150,20,0.1,2.8972,1.9247
30,200,1,0.1,1.4539,1.9625
31,200,2,0.1,1.4756,1.9628
32,200,5,0.1,1.5737,1.9602
33,200,15,0.1,2.3695,1.9635
34,200,20,0.1,3.1788,1.9248
35,250,1,0.1,1.4548,1.9563
36,250,2,0.1,1.4837,1.9713
37,250,5,0.1,1.5987,1.9378
38,250,15,0.1,2.6805,1.9383
39,250,20,0.1,3.3789,1.9325
40,10,1,0.2,1.4513,1.9368
41,10,2,0.2,1.4534,1.9557
42,10,5,0.2,1.4656,1.9338
43,10,15,0.2,1.6017,1.9182
44,10,20,0.2,1.7637,1.9383
45,20,1,0.2,1.4503,1.9415
46,20,2,0.2,1.4541,1.9522
47,20,5,0.2,1.4823,1.94
48,20,15,0.2,1.6983,1.9228
49,20,20,0.2,1.9484,1.9342
50,40,1,0.2,1.4513,1.9332
51,40,2,0.2,1.4603,1.9715
52,40,5,0.2,1.516,1.9685
53,40,15,0.2,1.8879,1.9498
54,40,20,0.2,2.2327,1.9462
55,60,1,0.2,1.452,1.967
56,60,2,0.2,1.4665,1.9633
57,60,5,0.2,1.5434,1.9312
58,60,15,0.2,2.0851,1.9493
59,60,20,0.2,2.6707,1.9263
60,100,1,0.2,1.4541,1.9615
61,100,2,0.2,1.4795,1.9662
62,100,5,0.2,1.5975,1.9403
63,100,15,0.2,2.4296,1.9338
64,100,20,0.2,3.2575,1.971
65,150,1,0.2,1.4563,1.9582
66,150,2,0.2,1.4945,1.9752
67,150,5,0.2,1.6533,1.9342
68,150,15,0.2,2.9846,1.9345
69,150,20,0.2,3.5094,1.9393
70,200,1,0.2,1.4575,1.9563
71,200,2,0.2,1.5068,1.9858
72,200,5,0.2,1.7053,1.9472
73,200,15,0.2,3.3639,1.929
74,200,20,0.2,3.7191,1.9407
75,250,1,0.2,1.4589,1.9587
76,250,2,0.2,1.5205,1.9883
77,250,5,0.2,1.7588,1.9405
78,250,15,0.2,3.5411,1.936
79,250,20,0.2,3.9114,1.9452
80,10,1,0.5,1.4513,1.9288
81,10,2,0.5,1.4633,1.9692
82,10,5,0.5,1.5441,1.9837
83,10,15,0.5,1.9632,1.9017
84,10,20,0.5,2.2266,1.9212
85,20,1,0.5,1.4525,1.9585
86,20,2,0.5,1.4748,1.9687
87,20,5,0.5,1.6122,1.9565
88,20,15,0.5,2.2468,1.93
89,20,20,0.5,2.9687,1.9478
90,40,1,0.5,1.4551,1.9688
91,40,2,0.5,1.4955,1.964
92,40,5,0.5,1.7572,1.946
93,40,15,0.5,2.7772,1.9297
94,40,20,0.5,3.4904,1.944
95,60,1,0.5,1.4572,1.9603
96,60,2,0.5,1.526,1.9665
97,60,5,0.5,1.8414,1.9452
98,60,15,0.5,3.2912,1.9337
99,60,20,0.5,3.7294,1.9375
100,100,1,0.5,1.4602,1.9682
101,100,2,0.5,1.5756,1.9597
102,100,5,0.5,1.9773,1.8927
103,100,15,0.5,3.7388,1.9283
104,100,20,0.5,4.1202,1.9108
105,150,1,0.5,1.4624,1.9717
106,150,2,0.5,1.6201,1.9693
107,150,5,0.5,2.1172,1.9102
108,150,15,0.5,4.0661,1.9242
109,150,20,0.5,4.6484,1.9588
110,200,1,0.5,1.4657,1.9688
111,200,2,0.5,1.6673,1.9622
112,200,5,0.5,2.2402,1.9195
113,200,15,0.5,4.5037,1.931
114,200,20,0.5,5.3002,1.9283
115,250,1,0.5,1.4673,1.9885
116,250,2,0.5,1.7112,1.9525
117,250,5,0.5,2.371,1.923
118,250,15,0.5,4.8629,1.9137
119,250,20,0.5,5.7704,1.931
120,10,1,0.7,1.452,1.947
121,10,2,0.7,1.4769,1.982
122,10,5,0.7,1.6257,1.9598
123,10,15,0.7,2.4054,1.8972
124,10,20,0.7,2.8327,1.9485
125,20,1,0.7,1.4542,1.9692
126,20,2,0.7,1.4998,1.9683
127,20,5,0.7,1.7671,1.9315
128,20,15,0.7,2.7936,1.9187
129,20,20,0.7,3.4343,1.9428
130,40,1,0.7,1.4586,1.959
131,40,2,0.7,1.5447,1.9618
132,40,5,0.7,1.9557,1.9248
133,40,15,0.7,3.5003,1.9405
134,40,20,0.7,3.8576,1.92
135,60,1,0.7,1.4601,1.972
136,60,2,0.7,1.5858,1.981
137,60,5,0.7,2.1366,1.9135
138,60,15,0.7,3.8931,1.9258
139,60,20,0.7,4.2032,1.9352
140,100,1,0.7,1.4628,1.9722
141,100,2,0.7,1.6451,1.97
142,100,5,0.7,2.3211,1.921
143,100,15,0.7,4.2665,1.9317
144,100,20,0.7,4.8121,1.9337
145,150,1,0.7,1.4676,1.9822
146,150,2,0.7,1.7006,1.984
147,150,5,0.7,2.5017,1.9163
148,150,15,0.7,4.8392,1.9107
149,150,20,0.7,5.5726,1.9267
150,200,1,0.7,1.4705,1.9917
151,200,2,0.7,1.7814,1.9722
152,200,5,0.7,2.6772,1.921
153,200,15,0.7,5.4237,1.927
154,200,20,0.7,6.3751,1.9367
155,250,1,0.7,1.4733,1.9877
156,250,2,0.7,1.8357,1.9542
157,250,5,0.7,2.8337,1.9345
158,250,15,0.7,5.9652,1.9225
159,250,20,0.7,7.1555,1.9362
160,10,1,0.9,1.4546,1.9583
161,10,2,0.9,1.4933,1.9492
162,10,5,0.9,1.7208,1.9693
163,10,15,0.9,2.8505,1.9102
164,10,20,0.9,3.6322,1.9495
165,20,1,0.9,1.4572,1.9813
166,20,2,0.9,1.5327,1.9623
167,20,5,0.9,1.9223,1.9432
168,20,15,0.9,3.5133,1.915
169,20,20,0.9,3.9581,1.9242
170,40,1,0.9,1.4608,1.9688
171,40,2,0.9,1.5905,1.951
172,40,5,0.9,2.3271,1.916
173,40,15,0.9,4.1932,1.9442
174,40,20,0.9,4.2982,1.9437
175,60,1,0.9,1.4638,1.976
176,60,2,0.9,1.649,1.962
177,60,5,0.9,2.5262,1.9158
178,60,15,0.9,4.4683,1.925
179,60,20,0.9,4.7781,1.917
180,100,1,0.9,1.4677,1.9775
181,100,2,0.9,1.7715,1.9768
182,100,5,0.9,2.7678,1.9177
183,100,15,0.9,4.9223,1.9287
184,100,20,0.9,5.5575,1.9003
185,150,1,0.9,1.4721,1.9767
186,150,2,0.9,1.8968,1.9542
187,150,5,0.9,3.0242,1.9158
188,150,15,0.9,5.7602,1.922
189,150,20,0.9,6.6072,1.9103
190,200,1,0.9,1.4751,1.9742
191,200,2,0.9,2.0508,1.9355
192,200,5,0.9,3.2338,1.898
193,200,15,0.9,6.651,1.934
194,200,20,0.9,7.853,1.907
195,250,1,0.9,1.4783,1.995
196,250,2,0.9,2.1472,1.9312
