,Trees,Depth,Learning Rate,LogLoss,Mean Absolute Error
0,10,1,0.1,1.4635,1.9373
1,10,2,0.1,1.464,1.9348
2,10,5,0.1,1.4673,1.9542
3,10,15,0.1,1.5323,1.9798
4,10,20,0.1,1.5823,1.9268
5,20,1,0.1,1.4524,1.9378
6,20,2,0.1,1.4533,1.937
7,20,5,0.1,1.461,1.9475
8,20,15,0.1,1.5744,1.9565
9,20,20,0.1,1.6706,1.9467
10,40,1,0.1,1.4512,1.9348
11,40,2,0.1,1.4538,1.9487
12,40,5,0.1,1.4731,1.9627
13,40,15,0.1,1.6638,1.9718
14,40,20,0.1,1.8514,1.9187
15,60,1,0.1,1.4518,1.9365
16,60,2,0.1,1.4569,1.9552
17,60,5,0.1,1.4877,1.9558
18,60,15,0.1,1.7541,1.9633
19,60,20,0.1,2.0137,1.9427
20,100,1,0.1,1.4527,1.9525
21,100,2,0.1,1.463,1.958
22,100,5,0.1,1.5155,1.9617
23,100,15,0.1,1.9028,1.9598
24,100,20,0.1,2.3354,1.9457
25,150,1,0.1,1.4536,1.9587
26,150,2,0.1,1.4703,1.963
27,150,5,0.1,1.5462,1.9433
28,150,15,0.1,2.1119,1.94
29,150,20,0.1,2.8621,1.9492
30,200,1,0.1,1.4544,1.9527
31,200,2,0.1,1.4771,1.9565
32,200,5,0.1,1.5772,1.9397
33,200,15,0.1,2.3333,1.951
34,200,20,0.1,2.9905,1.927
35,250,1,0.1,1.4551,1.955
36,250,2,0.1,1.4829,1.9722
37,250,5,0.1,1.6033,1.9292
38,250,15,0.1,2.5642,1.9363
39,250,20,0.1,3.1312,1.9528
40,10,1,0.2,1.4521,1.9378
41,10,2,0.2,1.4537,1.9488
42,10,5,0.2,1.462,1.9482
43,10,15,0.2,1.6152,1.9528
44,10,20,0.2,1.7294,1.9142
45,20,1,0.2,1.4515,1.9348
46,20,2,0.2,1.4541,1.9493
47,20,5,0.2,1.478,1.9392
48,20,15,0.2,1.6884,1.9425
49,20,20,0.2,1.8377,1.9112
50,40,1,0.2,1.4524,1.9458
51,40,2,0.2,1.4616,1.9653
52,40,5,0.2,1.5143,1.945
53,40,15,0.2,1.862,1.9472
54,40,20,0.2,2.1887,1.9627
55,60,1,0.2,1.4532,1.952
56,60,2,0.2,1.4674,1.9697
57,60,5,0.2,1.5436,1.937
58,60,15,0.2,1.9907,1.954
59,60,20,0.2,2.6231,1.9418
60,100,1,0.2,1.4548,1.95
61,100,2,0.2,1.4803,1.9635
62,100,5,0.2,1.6071,1.9225
63,100,15,0.2,2.371,1.9303
64,100,20,0.2,3.0293,1.9093
65,150,1,0.2,1.456,1.9545
66,150,2,0.2,1.4932,1.9593
67,150,5,0.2,1.6652,1.9215
68,150,15,0.2,2.9058,1.9295
69,150,20,0.2,3.1846,1.9328
70,200,1,0.2,1.4571,1.9392
71,200,2,0.2,1.5055,1.9543
72,200,5,0.2,1.7265,1.9367
73,200,15,0.2,3.1616,1.9403
74,200,20,0.2,3.3912,1.9132
75,250,1,0.2,1.458,1.948
76,250,2,0.2,1.5177,1.9362
77,250,5,0.2,1.7758,1.9258
78,250,15,0.2,3.284,1.9345
79,250,20,0.2,3.5657,1.9577
80,10,1,0.5,1.4525,1.9392
81,10,2,0.5,1.4632,1.9418
82,10,5,0.5,1.5529,1.9498
83,10,15,0.5,2.0216,1.9207
84,10,20,0.5,2.2585,1.8775
85,20,1,0.5,1.4531,1.948
86,20,2,0.5,1.48,1.9488
