,Trees,Depth,LogLoss,Mean Absolute Error,Criterion
0,10,1,1.4484,1.9363,entropy
1,10,2,1.4487,1.9363,entropy
2,10,5,1.4526,1.9365,entropy
3,10,15,1.9345,1.925,entropy
4,10,20,3.3854,1.9405,entropy
5,20,1,1.449,1.9363,entropy
6,20,2,1.4494,1.9363,entropy
7,20,5,1.4532,1.9287,entropy
8,20,15,1.5836,1.9673,entropy
9,20,20,2.0519,1.955,entropy
10,40,1,1.4488,1.9363,entropy
11,40,2,1.4494,1.9363,entropy
12,40,5,1.4508,1.9338,entropy
13,40,15,1.5617,1.9687,entropy
14,40,20,1.7153,1.9478,entropy
15,60,1,1.449,1.9363,entropy
16,60,2,1.4491,1.9363,entropy
17,60,5,1.4521,1.946,entropy
18,60,15,1.5264,1.9797,entropy
19,60,20,1.6779,1.9658,entropy
20,100,1,1.4489,1.9363,entropy
21,100,2,1.4491,1.9363,entropy
22,100,5,1.4512,1.9337,entropy
23,100,15,1.5283,1.9888,entropy
24,100,20,1.6426,1.9632,entropy
25,150,1,1.4489,1.9363,entropy
26,150,2,1.4491,1.9363,entropy
27,150,5,1.4512,1.9393,entropy
28,150,15,1.5203,1.9615,entropy
29,150,20,1.6409,1.9712,entropy
30,200,1,1.4488,1.9363,entropy
31,200,2,1.4492,1.9363,entropy
32,200,5,1.4511,1.9347,entropy
33,200,15,1.5208,1.9735,entropy
34,200,20,1.6251,1.9412,entropy
35,250,1,1.4488,1.9363,entropy
36,250,2,1.4491,1.9363,entropy
37,250,5,1.451,1.9367,entropy
38,250,15,1.5196,1.9733,entropy
39,250,20,1.6284,1.9488,entropy
40,10,1,1.4487,1.938,gini
41,10,2,1.449,1.9363,gini
42,10,5,1.4555,1.9342,gini
43,10,15,1.6786,1.9533,gini
44,10,20,2.5953,1.934,gini
45,20,1,1.4488,1.9373,gini
46,20,2,1.4491,1.9363,gini
47,20,5,1.4527,1.94,gini
48,20,15,1.5716,1.9647,gini
49,20,20,2.0628,1.934,gini
50,40,1,1.4485,1.9363,gini
51,40,2,1.4492,1.9363,gini
52,40,5,1.4513,1.921,gini
53,40,15,1.5227,1.9597,gini
54,40,20,1.687,1.9613,gini
55,60,1,1.4487,1.9363,gini
56,60,2,1.4489,1.9373,gini
57,60,5,1.451,1.9467,gini
58,60,15,1.518,1.9763,gini
59,60,20,1.6487,1.953,gini
60,100,1,1.4485,1.9363,gini
61,100,2,1.4489,1.9367,gini
62,100,5,1.4509,1.937,gini
63,100,15,1.5175,1.9693,gini
64,100,20,1.6172,1.942,gini
65,150,1,1.4487,1.9363,gini
66,150,2,1.4488,1.9363,gini
67,150,5,1.4499,1.9333,gini
68,150,15,1.5138,1.9543,gini
69,150,20,1.602,1.9545,gini
70,200,1,1.4487,1.9363,gini
71,200,2,1.4487,1.9363,gini
72,200,5,1.4503,1.9363,gini
73,200,15,1.5093,1.9842,gini
74,200,20,1.602,1.96,gini
75,250,1,1.4487,1.9363,gini
76,250,2,1.4488,1.9363,gini
77,250,5,1.4504,1.9343,gini
78,250,15,1.5075,1.9638,gini
79,250,20,1.6086,1.951,gini
