,Trees,Depth,LogLoss,Mean Absolute Error,Criterion
0,10,1,1.4496,1.9347,entropy
1,10,2,1.4508,1.9377,entropy
2,10,5,1.4546,1.9267,entropy
3,10,15,1.5982,2.0007,entropy
4,10,20,2.4187,1.9653,entropy
5,20,1,1.4495,1.9373,entropy
6,20,2,1.4495,1.9373,entropy
7,20,5,1.4533,1.931,entropy
8,20,15,1.5373,1.9438,entropy
9,20,20,1.8827,1.9637,entropy
10,40,1,1.4498,1.9373,entropy
11,40,2,1.4501,1.9373,entropy
12,40,5,1.4514,1.9383,entropy
13,40,15,1.5187,1.9943,entropy
14,40,20,1.6102,1.9528,entropy
15,60,1,1.4495,1.9373,entropy
16,60,2,1.4497,1.9373,entropy
17,60,5,1.4524,1.9483,entropy
18,60,15,1.5112,1.9712,entropy
19,60,20,1.5824,1.9545,entropy
20,100,1,1.4496,1.9373,entropy
21,100,2,1.45,1.9373,entropy
22,100,5,1.4523,1.937,entropy
23,100,15,1.5005,1.9773,entropy
24,100,20,1.5598,2.003,entropy
25,150,1,1.4495,1.9373,entropy
26,150,2,1.4499,1.9373,entropy
27,150,5,1.4513,1.943,entropy
28,150,15,1.5003,1.997,entropy
29,150,20,1.5511,1.9968,entropy
30,200,1,1.4495,1.9373,entropy
31,200,2,1.4498,1.9373,entropy
32,200,5,1.4515,1.9427,entropy
33,200,15,1.494,1.9505,entropy
34,200,20,1.5534,1.9793,entropy
35,250,1,1.4495,1.9373,entropy
36,250,2,1.4497,1.9373,entropy
37,250,5,1.4513,1.9367,entropy
38,250,15,1.495,1.9658,entropy
39,250,20,1.5487,1.984,entropy
40,10,1,1.4499,1.936,gini
41,10,2,1.4498,1.9427,gini
42,10,5,1.4551,1.9333,gini
43,10,15,1.5744,1.943,gini
44,10,20,2.2748,1.9277,gini
45,20,1,1.4497,1.9373,gini
46,20,2,1.4498,1.9363,gini
47,20,5,1.4524,1.9327,gini
48,20,15,1.5264,1.9633,gini
49,20,20,1.6697,1.9718,gini
50,40,1,1.4496,1.9373,gini
51,40,2,1.4497,1.9367,gini
52,40,5,1.4509,1.945,gini
53,40,15,1.5102,1.9777,gini
54,40,20,1.6231,1.971,gini
55,60,1,1.4495,1.9373,gini
56,60,2,1.4493,1.9373,gini
57,60,5,1.4514,1.9497,gini
58,60,15,1.4964,1.9418,gini
59,60,20,1.5631,1.9728,gini
60,100,1,1.4497,1.9373,gini
61,100,2,1.4496,1.9373,gini
62,100,5,1.4507,1.945,gini
63,100,15,1.4905,1.9825,gini
64,100,20,1.5612,1.9552,gini
65,150,1,1.4495,1.9373,gini
66,150,2,1.4498,1.9373,gini
67,150,5,1.4515,1.9453,gini
68,150,15,1.4907,1.9715,gini
69,150,20,1.5417,1.9712,gini
70,200,1,1.4495,1.9373,gini
71,200,2,1.4497,1.9373,gini
72,200,5,1.4515,1.9393,gini
73,200,15,1.4903,1.9782,gini
74,200,20,1.5386,1.9958,gini
75,250,1,1.4494,1.9373,gini
76,250,2,1.4498,1.9373,gini
77,250,5,1.4516,1.9447,gini
78,250,15,1.4897,1.9577,gini
79,250,20,1.5403,1.9962,gini
